,id,decision,date,buying_price,median_price_zipcode,selling_price_suggestion,expected_profit,condition,zipcode,dist_fromlake,yr_built,yr_renovated,bedrooms,bathrooms,sqft_living,sqft_above,sqft_lot,sqft_basement,floors,waterfront,grade,lat,long,query,road,house_number,neighbourhood,city,county,state,season,med_autumn,med_spring,med_summer,med_winter,season_to_sell
53,7525100520,1,2014-05-02,335000.0,615000.0,435500.0,100500.0,3,98052,11.430106986569516,1976,0,2,2.0,1350,1350,2560,0,1.0,0,8,47.6344,-122.107,"47.6344,-122.107",174th Avenue Northeast,2610,,,King County,Washington,spring,599500.0,625000.0,620000.0,600750.0,autumn spring summer winter 
60,2201501015,1,2014-05-02,430000.0,762684.5,559000.0,129000.0,4,98006,12.140959032686812,1954,0,4,1.5,1920,1070,10000,850,1.0,0,7,47.5725,-122.133,"47.5725,-122.133",156th Avenue Southeast,3837,,Bellevue,King County,Washington,spring,765000.0,755000.0,760000.0,791270.5,autumn spring summer winter 
61,9267200226,1,2014-05-02,436110.0,550000.0,566943.0,130833.0,3,98103,8.754485463933031,2007,0,3,2.5,1770,1600,1235,170,3.0,0,8,47.6965,-122.342,"47.6965,-122.342",North 93rd Street,1156,Licton Springs,Seattle,King County,Washington,spring,549500.0,550000.0,549500.0,565000.0,autumn spring summer winter 
62,7399300120,1,2014-05-02,260000.0,298500.0,338000.0,78000.0,4,98055,20.502896031930884,1974,0,4,2.0,1480,1480,8625,0,1.0,0,7,47.462,-122.193,"47.462,-122.193",Aberdeen Place Southeast,2025,Rolling Hills,,King County,Washington,spring,290000.0,305000.0,293000.0,310000.0,autumn spring summer winter 
64,2025700730,1,2014-05-02,287200.0,342500.0,373360.0,86160.0,4,98038,36.573291533258605,1992,0,3,3.0,1850,1090,19966,760,1.0,0,7,47.3493,-122.034,"47.3493,-122.034",Southeast 281st Court,23017,Diamond Hills,,King County,Washington,spring,342497.5,349475.0,345000.0,338975.0,autumn spring summer winter 
66,7525410190,1,2014-05-02,550000.0,739999.0,715000.0,165000.0,3,98075,18.351741988909048,1979,0,3,1.75,2910,2910,35200,0,1.5,0,8,47.5747,-122.035,"47.5747,-122.035",,,,,King County,Washington,spring,707500.0,742000.0,739900.0,763000.0,autumn spring summer winter 
68,9474700020,1,2014-05-03,310000.0,502500.0,403000.0,93000.0,4,98065,39.123838854012554,1973,0,3,1.0,1010,1010,9945,0,1.0,0,6,47.5324,-121.763,"47.5324,-121.763",North Fork Road Southeast,7570,,,King County,Washington,spring,452250.0,516000.0,485000.0,528750.0,autumn spring summer winter 
70,1523069197,1,2014-05-03,379880.0,570500.0,493844.0,113964.0,4,98027,25.340372801333892,1986,0,3,2.5,1650,1130,14054,520,1.0,0,7,47.4821,-122.017,"47.4821,-122.017",242nd Place Southeast,13256,,,King County,Washington,spring,545000.0,574950.0,575000.0,538100.0,autumn spring summer winter 
77,6865200444,1,2014-05-05,531000.0,550000.0,690300.0,159300.0,3,98103,6.546264641391336,2000,0,2,3.0,1270,1110,1175,160,2.0,0,8,47.6634,-122.34,"47.6634,-122.34",North 48th Street,1411,Meridian,Seattle,King County,Washington,spring,549500.0,550000.0,549500.0,565000.0,autumn spring summer winter 
80,2125049120,1,2014-05-05,770000.0,920000.0,1001000.0,231000.0,4,98112,3.8080444614049247,1939,0,3,2.0,2350,1810,5700,540,1.5,0,8,47.639,-122.31,"47.639,-122.31",Boyer Avenue East,2171,Montlake,Seattle,King County,Washington,spring,841250.0,920000.0,952500.0,1025000.0,autumn spring summer winter 
81,8138870530,1,2014-05-05,419190.0,575000.0,544947.0,125757.0,3,98029,21.37330444579774,2014,0,2,2.5,1590,1590,1426,0,2.0,0,8,47.5441,-122.013,"47.5441,-122.013",,,,,King County,Washington,spring,575000.0,592500.0,561000.0,560000.0,autumn spring summer winter 
82,1861400060,1,2014-05-05,740000.0,744975.0,962000.0,222000.0,3,98119,8.410950061180419,1902,0,4,1.75,2010,2010,3600,0,1.5,0,7,47.6337,-122.371,"47.6337,-122.371",West Garfield Street,1014,,Seattle,King County,Washington,spring,762500.0,819500.0,680707.5,637475.0,autumn spring 
85,8146100325,1,2014-05-05,787000.0,1155000.0,1023100.0,236100.0,3,98004,6.086690887276558,1961,0,3,1.75,1330,1330,7500,0,1.0,0,8,47.6074,-122.195,"47.6074,-122.195",Southeast 9th Street,,,Bellevue,King County,Washington,spring,1116500.0,1190000.0,1014250.0,1398000.0,autumn spring summer winter 
86,263000155,1,2014-05-05,418000.0,550000.0,543400.0,125400.0,4,98103,9.247222726409083,1930,0,3,2.0,1410,1410,6030,0,1.5,0,7,47.6994,-122.347,"47.6994,-122.347",North 97th Street,901,Licton Springs,Seattle,King County,Washington,spring,549500.0,550000.0,549500.0,565000.0,autumn spring summer winter 
87,1954440060,1,2014-05-05,560000.0,644500.0,728000.0,168000.0,3,98074,16.370318240048572,1987,0,3,2.5,1900,1900,8744,0,2.0,0,8,47.62,-122.043,"47.62,-122.043",Northeast 11th Place,22354,,,King County,Washington,spring,623000.0,656250.0,637000.0,623900.0,autumn spring summer winter 
91,3329520410,1,2014-05-05,245000.0,260000.0,318500.0,73500.0,3,98001,34.36232547516371,1984,0,3,1.75,1920,1000,9306,920,1.0,0,7,47.3319,-122.267,"47.3319,-122.267",55th Place South,30018,,,King County,Washington,spring,250000.0,262000.0,263000.0,269950.0,autumn spring summer winter 
95,6143600580,1,2014-05-05,184000.0,260000.0,239200.0,55200.0,4,98001,37.117192611065796,1962,0,3,1.75,1490,1490,10125,0,1.0,0,7,47.3075,-122.284,"47.3075,-122.284",South 328th Street,3911,,,King County,Washington,spring,250000.0,262000.0,263000.0,269950.0,autumn spring summer winter 
98,1823069155,1,2014-05-05,525888.0,570500.0,683654.4,157766.40000000002,5,98027,21.983376324914857,1960,0,5,1.75,2550,1810,71874,740,1.0,0,7,47.4845,-122.08,"47.4845,-122.08",195th Place Southeast,13129,Ravenswood,,King County,Washington,spring,545000.0,574950.0,575000.0,538100.0,autumn spring summer winter 
101,5561301280,1,2014-05-05,410000.0,570500.0,533000.0,123000.0,4,98027,26.60134902700057,1978,0,3,2.25,1800,1360,36704,440,1.0,0,8,47.4688,-122.013,"47.4688,-122.013",Southeast Mirrormont Drive,24502,Mirrormont,,King County,Washington,spring,545000.0,574950.0,575000.0,538100.0,autumn spring summer winter 
102,1898700310,1,2014-05-05,220000.0,268500.0,286000.0,66000.0,3,98023,37.087867445502546,1971,0,4,1.5,1240,1240,9600,0,1.0,0,7,47.3206,-122.397,"47.3206,-122.397",Southwest 314th Place,4924,,,King County,Washington,spring,266000.0,275000.0,260000.0,272000.0,autumn spring summer winter 
104,1823069213,1,2014-05-05,249950.0,435000.0,324935.0,74985.0,4,98059,20.88575118083345,1958,0,3,2.0,1550,1550,15040,0,1.0,0,6,47.4873,-122.099,"47.4873,-122.099",Southeast 128th Street,18027,,,King County,Washington,spring,427500.0,450000.0,435000.0,420000.0,autumn spring summer winter 
105,1402810140,1,2014-05-05,300000.0,401250.0,390000.0,90000.0,3,98019,23.600320108876247,1986,0,3,2.0,1050,1050,10072,0,1.0,0,7,47.7341,-121.976,"47.7341,-121.976",Northeast Miller Street,27118,,,King County,Washington,spring,405000.0,414000.0,400000.0,380500.0,autumn spring summer winter 
106,2946001645,1,2014-05-05,232000.0,266125.0,301600.0,69600.0,4,98198,24.993945815352248,1958,0,2,1.0,1200,1200,8063,0,1.0,0,6,47.4204,-122.324,"47.4204,-122.324",8th Avenue South,20220,North Hill,,King County,Washington,spring,262500.0,257950.0,269900.0,275000.0,autumn spring summer winter 
110,9828700200,1,2014-05-05,831000.0,920000.0,1080300.0,249300.0,4,98112,3.4093199592959853,1982,2011,4,3.0,2170,1610,4000,560,2.0,0,9,47.6196,-122.292,"47.6196,-122.292",31st Avenue East,120,,Seattle,King County,Washington,spring,841250.0,920000.0,952500.0,1025000.0,autumn spring summer winter 
111,6821101870,1,2014-05-05,524000.0,690000.0,681200.0,157200.0,4,98199,10.535427812242734,1944,0,3,1.75,1560,780,5520,780,1.0,0,6,47.6515,-122.399,"47.6515,-122.399",33rd Avenue West,3432,Lawton Park,Seattle,King County,Washington,spring,650000.0,730000.0,735000.0,606000.0,autumn spring summer winter 
113,8648900060,1,2014-05-05,509900.0,570500.0,662870.0,152970.0,3,98027,15.114696961865029,2010,0,3,2.5,1790,1790,2700,0,2.0,0,8,47.564,-122.093,"47.564,-122.093",185th Avenue Southeast,4586,,,King County,Washington,spring,545000.0,574950.0,575000.0,538100.0,autumn spring summer winter 
117,3644100086,1,2014-05-05,340000.0,457500.0,442000.0,102000.0,3,98144,6.090120946456632,2001,0,2,1.5,1160,1160,1438,0,2.0,0,7,47.5917,-122.295,"47.5917,-122.295",29th Avenue South,1314,,Seattle,King County,Washington,spring,425000.0,460000.0,490000.0,474500.0,autumn spring summer winter 
118,8651402920,1,2014-05-05,219900.0,291500.0,285870.0,65970.0,3,98042,33.51958247938515,1969,2014,4,1.5,1120,1120,5427,0,1.0,0,6,47.3628,-122.087,"47.3628,-122.087",Southeast 266th Street,19023,Covington Woods,,King County,Washington,spring,279000.0,301750.0,299500.0,286000.0,autumn spring summer winter 
119,259600530,1,2014-05-05,501000.0,545000.0,651300.0,150300.0,3,98008,10.554811507795197,1963,0,4,1.0,2070,1160,7519,910,1.0,0,7,47.632,-122.119,"47.632,-122.119",Northeast 25th Street,16620,,Bellevue,King County,Washington,spring,529219.0,550000.0,563750.0,542000.0,autumn spring summer winter 
121,6071200545,1,2014-05-05,541125.0,762684.5,703462.5,162337.5,4,98006,10.967857778876393,1960,0,5,2.75,2740,1370,8426,1370,1.0,0,8,47.5563,-122.184,"47.5563,-122.184",Southeast 52nd Street,11633,,Bellevue,King County,Washington,spring,765000.0,755000.0,760000.0,791270.5,autumn spring summer winter 
122,2790410250,1,2014-05-05,615000.0,615000.0,799500.0,184500.0,4,98052,12.411741150666336,1977,0,4,1.75,2300,1960,11700,340,1.0,0,9,47.6331,-122.094,"47.6331,-122.094",Northeast 26th Way,18433,,,King County,Washington,spring,599500.0,625000.0,620000.0,600750.0,spring summer 
123,7853302370,1,2014-05-05,499000.0,502500.0,648700.0,149700.0,3,98065,30.077232747680736,2006,0,4,2.5,2910,2910,6479,0,2.0,0,7,47.5402,-121.887,"47.5402,-121.887",,,,,King County,Washington,spring,452250.0,516000.0,485000.0,528750.0,spring winter 
125,124069032,1,2014-05-05,600000.0,739999.0,780000.0,180000.0,4,98075,20.947435172881804,1976,1992,3,1.75,1670,1670,39639,0,1.0,0,8,47.5929,-121.989,"47.5929,-121.989",East Beaver Lake Drive Southeast,1705,,,King County,Washington,spring,707500.0,742000.0,739900.0,763000.0,autumn spring summer winter 
131,3580900260,1,2014-05-05,340000.0,446000.0,442000.0,102000.0,4,98034,9.969583846551114,1962,0,5,1.0,1120,1120,9022,0,1.5,0,7,47.7296,-122.24,"47.7296,-122.24",75th Avenue Northeast,14150,,,King County,Washington,spring,442500.0,460000.0,440000.0,440000.0,autumn spring summer winter 
132,9512000140,1,2014-05-05,755000.0,765475.0,981500.0,226500.0,4,98005,9.070479251177236,1960,0,4,2.5,2120,1620,10202,500,1.0,0,7,47.5858,-122.17,"47.5858,-122.17",Southeast 27th Street,12759,,Bellevue,King County,Washington,spring,806500.0,795000.0,740000.0,762450.0,autumn spring winter 
133,993001330,1,2014-05-05,406100.0,550000.0,527930.0,121830.0,3,98103,8.268533767874382,2005,0,3,2.25,1410,1410,1332,0,3.0,0,8,47.6916,-122.34,"47.6916,-122.34",Interlake Avenue North,8536,Licton Springs,Seattle,King County,Washington,spring,549500.0,550000.0,549500.0,565000.0,autumn spring summer winter 
134,9822700255,1,2014-05-05,670000.0,675000.0,871000.0,201000.0,3,98105,3.1646927449481392,1909,1998,3,2.5,1680,1680,2000,0,3.0,0,9,47.6604,-122.29,"47.6604,-122.29",Northeast 44th Street,3503,,Seattle,King County,Washington,spring,623000.0,725000.0,675000.0,665000.0,spring summer 
137,2487700065,1,2014-05-05,400000.0,489950.0,520000.0,120000.0,3,98136,16.264954401846545,1955,0,2,1.0,840,840,5510,0,1.0,0,7,47.5247,-122.391,"47.5247,-122.391",Southwest Trenton Street,4515,,Seattle,King County,Washington,spring,469300.0,515000.0,454900.0,525000.0,autumn spring summer winter 
138,9828700900,1,2014-05-05,549000.0,920000.0,713700.0,164700.0,5,98112,3.4522115943512635,1908,0,2,1.0,1140,1140,5400,0,1.0,0,7,47.6205,-122.294,"47.6205,-122.294",East John Street,2918,,Seattle,King County,Washington,spring,841250.0,920000.0,952500.0,1025000.0,autumn spring summer winter 
140,2979800409,1,2014-05-05,416286.0,570000.0,541171.8,124885.80000000005,3,98115,6.4926684246479685,2005,0,3,2.5,1408,1408,989,0,3.0,0,8,47.6856,-122.315,"47.6856,-122.315",12th Avenue Northeast,7807,,Seattle,King County,Washington,spring,552500.0,595000.0,550000.0,580000.0,autumn spring summer winter 
141,3080000030,1,2014-05-05,398750.0,457500.0,518375.0,119625.0,3,98144,7.613342933882199,1954,0,3,2.5,2230,2230,4000,0,2.0,0,7,47.5801,-122.306,"47.5801,-122.306",21st Avenue South,2601,,Seattle,King County,Washington,spring,425000.0,460000.0,490000.0,474500.0,autumn spring summer winter 
142,1549500370,1,2014-05-05,210000.0,401250.0,273000.0,63000.0,3,98019,28.84291211532306,1953,0,3,1.0,1340,1340,306848,0,1.0,0,5,47.7534,-121.912,"47.7534,-121.912",Mountain View Road Northeast,17989,,,King County,Washington,spring,405000.0,414000.0,400000.0,380500.0,autumn spring summer winter 
144,9268851800,1,2014-05-05,415000.0,570500.0,539500.0,124500.0,3,98027,20.710886075947492,2010,0,3,2.25,1620,1540,998,80,2.5,0,8,47.5401,-122.027,"47.5401,-122.027",,,,,King County,Washington,spring,545000.0,574950.0,575000.0,538100.0,autumn spring summer winter 
145,23500180,1,2014-05-05,570000.0,615000.0,741000.0,171000.0,3,98052,12.165066906167544,1975,0,3,2.25,2010,1330,6000,680,1.0,0,8,47.6912,-122.115,"47.6912,-122.115",Northeast 104th Street,17001,Education Hill,,King County,Washington,spring,599500.0,625000.0,620000.0,600750.0,autumn spring summer winter 
146,6632300212,1,2014-05-05,366750.0,425000.0,476775.0,110025.0,3,98125,10.982551812561862,2008,0,3,3.0,1571,1571,2017,0,3.0,0,8,47.7338,-122.309,"47.7338,-122.309",19th Avenue Northeast,14359,,Seattle,King County,Washington,spring,435500.0,429975.0,421750.0,425000.0,autumn spring summer winter 
149,2488200459,1,2014-05-05,405000.0,489950.0,526500.0,121500.0,3,98136,16.450845760635172,2006,0,2,3.0,1410,1140,1240,270,2.0,0,8,47.5221,-122.39,"47.5221,-122.39",45th Avenue Southwest,9122,,Seattle,King County,Washington,spring,469300.0,515000.0,454900.0,525000.0,autumn spring summer winter 
150,1446403305,1,2014-05-05,206000.0,235000.0,267800.0,61800.0,5,98168,17.679802796373437,1944,0,2,1.0,810,810,7158,0,1.0,0,6,47.4882,-122.325,"47.4882,-122.325",7th Avenue South,12807,,,King County,Washington,spring,234525.0,235000.0,240500.0,235000.0,autumn spring summer winter 
151,3241600150,1,2014-05-05,287000.0,370000.0,373100.0,86100.0,4,98118,13.184379818087118,1953,0,3,1.0,1450,1450,6000,0,1.0,0,7,47.5238,-122.287,"47.5238,-122.287",Cecil Avenue South,8911,,Seattle,King County,Washington,spring,351400.0,421000.0,358000.0,350000.0,autumn spring summer winter 
152,5416510710,1,2014-05-05,309950.0,342500.0,402935.0,92985.0,3,98038,35.34921437558494,2006,0,4,2.75,2310,2310,5000,0,2.0,0,7,47.3614,-122.035,"47.3614,-122.035",Southeast 268th Place,22912,Rock Creek Meadows,,King County,Washington,spring,342497.5,349475.0,345000.0,338975.0,autumn spring summer winter 
154,6450304130,1,2014-05-05,329950.0,375000.0,428935.0,98985.0,4,98133,11.741362882613627,1949,0,2,1.0,1140,1140,5250,0,1.5,0,6,47.731,-122.341,"47.731,-122.341",Roslyn Place North,14017,,Seattle,King County,Washington,spring,362500.0,400000.0,358401.5,415000.0,autumn spring summer winter 
159,109200730,1,2014-05-06,218000.0,268500.0,283400.0,65400.0,3,98023,39.07944088012954,1979,0,3,1.75,1850,1320,7684,530,1.0,0,8,47.2975,-122.37,"47.2975,-122.37",28th Place Southwest,33945,,,King County,Washington,spring,266000.0,275000.0,260000.0,272000.0,autumn spring summer winter 
161,2436200715,1,2014-05-06,484000.0,675000.0,629200.0,145200.0,3,98105,3.373494807229747,1942,0,2,1.75,1660,1160,6000,500,1.0,0,7,47.6624,-122.291,"47.6624,-122.291",University View Place Northeast,4711,,Seattle,King County,Washington,spring,623000.0,725000.0,675000.0,665000.0,autumn spring summer winter 
162,1954400060,1,2014-05-06,515000.0,644500.0,669500.0,154500.0,3,98074,16.26268629394812,1989,0,3,2.5,1790,1790,7167,0,2.0,0,8,47.6176,-122.045,"47.6176,-122.045",Northeast 9th Place,2237,,,King County,Washington,spring,623000.0,656250.0,637000.0,623900.0,autumn spring summer winter 
166,6070500055,1,2014-05-06,599000.0,762684.5,778700.0,179700.0,4,98006,12.801061267454648,1977,0,4,2.25,2260,1400,29930,860,2.0,0,8,47.5689,-122.126,"47.5689,-122.126",Southeast 43rd Street,16032,,Bellevue,King County,Washington,spring,765000.0,755000.0,760000.0,791270.5,autumn spring summer winter 
167,6430000275,1,2014-05-06,485000.0,550000.0,630500.0,145500.0,3,98103,8.467491689499505,1905,2013,3,2.0,1420,1420,4080,0,1.5,0,7,47.6872,-122.349,"47.6872,-122.349",North 80th Street,720,,Seattle,King County,Washington,spring,549500.0,550000.0,549500.0,565000.0,autumn spring summer winter 
168,1788700230,1,2014-05-06,191000.0,268500.0,248300.0,57300.0,4,98023,35.577392521168925,1959,0,3,1.5,800,800,8850,0,1.0,0,6,47.3266,-122.348,"47.3266,-122.348",Southwest 307th Street,1003,Marine View Demarwood,,King County,Washington,spring,266000.0,275000.0,260000.0,272000.0,autumn spring summer winter 
170,7300200290,1,2014-05-06,650000.0,739999.0,845000.0,195000.0,4,98075,17.355991516842,1983,0,5,3.5,3480,2490,36615,990,2.0,0,8,47.5741,-122.05,"47.5741,-122.05",Southeast 38th Place,21810,,,King County,Washington,spring,707500.0,742000.0,739900.0,763000.0,autumn spring summer winter 
171,6150700394,1,2014-05-06,365000.0,375000.0,474500.0,109500.0,3,98133,11.48309789901419,1950,0,3,1.5,1310,1310,8160,0,1.0,0,7,47.7291,-122.339,"47.7291,-122.339",North 137th Street,1612,,Seattle,King County,Washington,spring,362500.0,400000.0,358401.5,415000.0,spring winter 
174,1223089050,1,2014-05-06,280000.0,399500.0,364000.0,84000.0,4,98045,43.27071517933794,1971,0,3,1.75,1630,1630,11800,0,1.0,0,7,47.4863,-121.73,"47.4863,-121.73",Southeast Mount Si Road,45800,,,King County,Washington,spring,355000.0,427437.0,413500.0,414500.0,autumn spring summer winter 
175,8656300380,1,2014-05-06,272000.0,415000.0,353600.0,81600.0,3,98014,26.06188290813853,1998,0,3,2.5,1650,1650,13816,0,2.0,0,7,47.6553,-121.912,"47.6553,-121.912",Northeast 55th Street,32012,,,King County,Washington,spring,405000.0,422925.0,470000.0,341000.0,autumn spring summer winter 
