,id,query,road,house_number,neighbourhood,city,county,state
38,7895500070,"47.3341,-122.282",42nd Avenue South,29840,,,King County,Washington
39,2078500320,"47.5301,-122.18",120th Place Southeast,8113,,,King County,Washington
40,5547700270,"47.6145,-122.027",234th Place Northeast,521,,,King County,Washington
41,7766200013,"47.445,-122.347",Southwest 174th Street,853,,,King County,Washington
42,7203220400,"47.6848,-122.016",242nd Way Northeast,9704,,,King County,Washington
43,9270200160,"47.6413,-122.364",West Smith Street,507,,Seattle,King County,Washington
44,1432701230,"47.4485,-122.175",Southeast 172nd Street,12505,,,King County,Washington
45,8035350320,"47.7443,-121.977",270th Place Northeast,16075,,,King County,Washington
46,8945200830,"47.3066,-122.371",Southwest 330th Street,2902,Twin Lakes,,King County,Washington
47,4178300310,"47.6194,-122.151",Northeast 8th Street,,,Bellevue,King County,Washington
48,9215400105,"47.6796,-122.301",25th Avenue Northeast,7001,Ravenna,Seattle,King County,Washington
49,822039084,"47.4041,-122.451",,,,,King County,Washington
50,5245600105,"47.4258,-122.322",10th Avenue South,19626,North Hill,,King County,Washington
51,7231300125,"47.4934,-122.189",Blaine Avenue Northeast,663,Highlands Park,,King County,Washington
52,7518505990,"47.6808,-122.384",22nd Avenue Northwest,7040,Loyal Heights,Seattle,King County,Washington
53,3626039271,"47.6989,-122.369",9th Avenue Northwest,9527,Crown Hill,Seattle,King County,Washington
54,4217401195,"47.6571,-122.281",43rd Avenue Northeast,3848,Laurelhurst,Seattle,King County,Washington
55,9822700295,"47.6597,-122.29",Northeast 43rd Street,3503,,Seattle,King County,Washington
56,9478500640,"47.3663,-122.114",Southeast 263rd Street,17025,,,King County,Washington
57,2799800710,"47.3663,-122.122",Southeast 263rd Street,16426,Stonefield,,King County,Washington
58,7922800400,"47.588,-122.116",Southeast 26th Street,16855,Sammamish Heights,Bellevue,King County,Washington
59,8079040320,"47.5059,-122.149",Ilwaco Avenue Northeast,1520,Summerwind,,King County,Washington
60,1516000055,"47.4336,-122.339",Southwest 189th Place,233,,,King County,Washington
61,9558200045,"47.4366,-122.335",1st Avenue South,,,,King County,Washington
62,5072410070,"47.4428,-122.344",6th Place Southwest,17551,,,King County,Washington
63,9528102996,"47.6765,-122.32",8th Avenue Northeast,6595,,Seattle,King County,Washington
64,1189001180,"47.6113,-122.297",27th Avenue,942,,Seattle,King County,Washington
65,3253500160,"47.5747,-122.304",22nd Avenue South,3214,,Seattle,King County,Washington
66,3394100030,"47.5815,-122.192",111th Avenue Southeast,,,Bellevue,King County,Washington
67,3717000160,"47.3378,-122.257",South 295th Court,6110,,,King County,Washington
68,1274500060,"47.3621,-122.11",Southeast 267th Place,17235,,,King County,Washington
69,1802000060,"47.6303,-122.215",94th Avenue Northeast,2178,,,King County,Washington
70,1525059190,"47.6525,-122.16",Northeast 50th Street,13511,,Bellevue,King County,Washington
71,1049000060,"47.7362,-122.179",Northeast 149th Place,12206,,,King County,Washington
72,8820901275,"47.7168,-122.287",38th Avenue Northeast,12042,,Seattle,King County,Washington
73,5416510140,"47.3608,-122.036",Southeast 269th Street,22840,Rock Creek Meadows,,King County,Washington
74,3444100400,"47.3511,-122.073",201st Avenue Southeast,27710,Winterwood Estates,,King County,Washington
75,3276920270,"47.5822,-121.987",263rd Place Southeast,3058,Tibbetts Station,,King County,Washington
76,4036801170,"47.6034,-122.125",Southeast 7th Street,16111,,Bellevue,King County,Washington
77,2391600320,"47.5636,-122.394",48th Avenue Southwest,4441,,Seattle,King County,Washington
78,6300000287,"47.7073,-122.34",Interlake Avenue North,10710,,Seattle,King County,Washington
79,1531000030,"47.342,-122.025",Black Bear Trail,,,,King County,Washington
80,5104520400,"47.3512,-122.008",Maple Ridge Way Southeast,27989,Maple Woods,,King County,Washington
81,7437100340,"47.349,-122.031",233rd Avenue Southeast,28155,Rosewood Parke,,King County,Washington
82,9418400240,"47.5474,-122.291",32nd Avenue South,6018,Holly Park,Seattle,King County,Washington
83,1523059105,"47.4811,-122.149",143rd Avenue Southeast,14241,,,King County,Washington
84,1133000671,"47.7264,-122.31",Northeast 135th Street,1715,Kenwood,Seattle,King County,Washington
85,4232902595,"47.6337,-122.365",6th Avenue West,,,Seattle,King County,Washington
86,2599001200,"47.2909,-122.189",Fir Street Southeast,2020,,,King County,Washington
87,3342103156,"47.5228,-122.199",Meadow Avenue North,3419,Kennydale,,King County,Washington
88,1332700270,"47.518,-122.194",Kennewick Place Northeast,2906,Kennydale,,King County,Washington
89,3869900162,"47.5394,-122.387",California Avenue Southwest,7106,Morgan Junction,Seattle,King County,Washington
90,2791500270,"47.2897,-122.372",Southwest 349th Place,3002,,,King County,Washington
91,5036300431,"47.6506,-122.391",West Bertona Street,2650,Lawton Park,Seattle,King County,Washington
92,4168000060,"47.322,-122.351",12th Avenue Southwest,31218,,,King County,Washington
93,6021501535,"47.687,-122.386",Jones Avenue Northwest,8002,Loyal Heights,Seattle,King County,Washington
94,6021501535,"47.687,-122.386",Jones Avenue Northwest,8002,Loyal Heights,Seattle,King County,Washington
95,1483300570,"47.5873,-122.249",64th Avenue Southeast,2688,McGilvra,,King County,Washington
96,3422049190,"47.3576,-122.277",South 272nd Street,4419,Cambridge East,,King County,Washington
97,1099611230,"47.3036,-122.378",36th Avenue Southwest,33209,,,King County,Washington
98,722079104,"47.4109,-121.958",290th Avenue Southeast,21315,,,King County,Washington
99,7338200240,"47.4838,-121.714",470th Avenue Southeast,12711,Riverpoint,,King County,Washington
100,1952200240,"47.6415,-122.315",Boyer Avenue East,2509,Montlake,Seattle,King County,Washington
101,5200100125,"47.6775,-122.372",12th Avenue Northwest,6549,Whittier Heights,Seattle,King County,Washington
102,7214720075,"47.7731,-122.08",194th Avenue Northeast,20088,,,King County,Washington
103,2450000295,"47.5814,-122.196",108th Avenue Southeast,3190,,Bellevue,King County,Washington
104,6197800045,"47.4375,-122.184",118th Avenue Southeast,18415,,,King County,Washington
105,1328310370,"47.4431,-122.133",Southeast 177th Place,15616,Candlewood,,King County,Washington
106,546000875,"47.6878,-122.38",18th Avenue Northwest,8026,Whittier Heights,Seattle,King County,Washington
107,3530510041,"47.3813,-122.322",9th Place South,24521,Zenith,,King County,Washington
108,1853000400,"47.7304,-122.082",Northeast 143rd Place,19166,,,King County,Washington
109,3134100116,"47.6417,-122.109",173rd Court Northeast,3598,,,King County,Washington
110,9545230140,"47.5386,-122.053",Northwest Honeywood Court,1098,,,King County,Washington
111,3362400511,"47.6823,-122.349",North 74th Street,719,,Seattle,King County,Washington
112,2525310310,"47.3624,-122.031",233rd Court Southeast,26707,Fernwood Estates,,King County,Washington
113,6126500060,"47.5474,-122.295",Chief Sealth Trail,,Holly Park,Seattle,King County,Washington
114,8961960160,"47.3183,-122.253",R Street Northwest,1119,,,King County,Washington
115,3626039325,"47.6981,-122.368",Northwest 95th Street,820,Crown Hill,Seattle,King County,Washington
116,3362400431,"47.6824,-122.347",North 74th Street,767,,Seattle,King County,Washington
117,4060000240,"47.5009,-122.248",69th Place South,11440,,Seattle,King County,Washington
118,3454800060,"47.4965,-122.303",Military Road South,11834,,,King County,Washington
119,1695900060,"47.587,-122.294",30th Avenue South,1733,,Seattle,King County,Washington
120,7278700070,"47.7728,-122.386",Northwest 197th Street,,,Shoreline,King County,Washington
121,6675500070,"47.7288,-122.226",Northeast 142nd Street,8621,Simonds Estates,,King County,Washington
122,3626039187,"47.6999,-122.364",Northwest 97th Street,612,Crown Hill,Seattle,King County,Washington
123,3524049083,"47.5299,-122.266",Seward Park Avenue South,7958,Dunlap,Seattle,King County,Washington
124,3275860240,"47.6897,-122.098",Northeast 99th Way,18322,,,King County,Washington
125,4389200955,"47.6141,-122.212",Northeast 1st Street,9616,,Bellevue,King County,Washington
126,4058801670,"47.5091,-122.244",South Rustic Road,7218,Lakeridge,Seattle,King County,Washington
127,8732020310,"47.3129,-122.39",44th Place Southwest,32219,Twin Lakes,,King County,Washington
128,2331300505,"47.6763,-122.352",North 65th Street,512,,Seattle,King County,Washington
129,7853210060,"47.5319,-121.85",Southeast Gravenstein Court,36702,Eagle Nest,,King County,Washington
130,3668000070,"47.2761,-122.152",37th Street Southeast,5805,,,King County,Washington
131,9545240070,"47.5343,-122.054",Jasmine Place Northwest,,,,King County,Washington
132,1243100136,"47.697,-122.072",,,,,King County,Washington
133,8929000270,"47.5517,-121.998",Northeast Logan Street,,,,King County,Washington
134,2767602356,"47.6734,-122.38",Northwest 61st Street,1722,Sunset Hill,Seattle,King County,Washington
135,921049315,"47.3257,-122.296",South 308th Lane,2833,,,King County,Washington
136,3655000070,"47.3309,-122.299",26th Place South,30204,,,King County,Washington
137,4027700812,"47.7689,-122.266",59th Place Northeast,19311,,,King County,Washington
138,3992700335,"47.7135,-122.287",Northeast 117th Street,3825,,Seattle,King County,Washington
139,2767603505,"47.6722,-122.381",Northwest 60th Street,1749,,Seattle,King County,Washington
140,4232901525,"47.6338,-122.358",1st Avenue West,1604,,Seattle,King County,Washington
141,1777500060,"47.5707,-122.128",Southeast 42nd Place,15954,,Bellevue,King County,Washington
142,1432900240,"47.4563,-122.171",Southeast 164th Street,12759,,,King County,Washington
143,6140100875,"47.7144,-122.351",Evanston Avenue North,11700,,Seattle,King County,Washington
144,6071600370,"47.5495,-122.174",125th Avenue Southeast,6026,,Bellevue,King County,Washington
145,1526069017,"47.7421,-122.026",Northeast 156th Place,,,,King County,Washington
146,809001525,"47.6354,-122.353",2nd Avenue North,1816,,Seattle,King County,Washington
147,3224079105,"47.5262,-121.943",299th Place Southeast,8485,,,King County,Washington
148,8075400570,"47.3887,-122.286",South 239th Street,3704,Midway,King County,King County,Washington
149,1994200024,"47.6873,-122.336",Wallingford Avenue North,8012,Licton Springs,Seattle,King County,Washington
150,3362900810,"47.6838,-122.353",North 76th Street,355,,Seattle,King County,Washington
151,1324300398,"47.655,-122.359",2nd Avenue Northwest,3952,,Seattle,King County,Washington
152,537000445,"47.3255,-122.304",South 308th Street,2223,,,King County,Washington
153,7855801670,"47.562,-122.162",Somerset Drive Southeast,,,Bellevue,King County,Washington
154,7920100045,"47.679,-122.3",26th Avenue Northeast,6849,Ravenna,Seattle,King County,Washington
155,8960000030,"47.4479,-122.176",125th Avenue Southeast,17229,,,King County,Washington
156,6388930390,"47.525,-122.172",Southeast 86th Place,12703,Olympus,,King County,Washington
157,8731900200,"47.3135,-122.369",Southwest 322nd Street,2719,Twin Lakes,,King County,Washington
158,8029200135,"47.2086,-121.996",Lafromboise Street,1857,,,King County,Washington
159,1081200350,"47.4715,-122.118",166th Place Southeast,14538,,,King County,Washington
160,84000105,"47.4877,-122.335",Southwest 129th Street,105,,,King County,Washington
161,3756500060,"47.7171,-122.193",111th Avenue Northeast,13024,,,King County,Washington
162,7215720160,"47.6012,-122.023",Southeast 8th Street,24011,,,King County,Washington
163,3574800520,"47.7319,-122.224",88th Avenue Northeast,14413,,,King County,Washington
164,2617300160,"47.4582,-122.023",239th Avenue Southeast,16037,Four Lakes,,King County,Washington
165,2558660270,"47.7209,-122.168",129th Place Northeast,13415,,,King County,Washington
166,2009000370,"47.408,-122.327",Des Moines Creek Trail,21619,Des Moines Creek,,King County,Washington
167,1836980160,"47.565,-122.125",Southeast 45th Court,16098,,Bellevue,King County,Washington
168,3261020370,"47.7028,-122.231",Northeast 115th Way,8236,,,King County,Washington
169,1755700060,"47.7458,-122.331",North 161st Street,2362,Meridian Park,Shoreline,King County,Washington
170,4330600435,"47.4776,-122.337",2nd Avenue Southwest,14003,,,King County,Washington
171,9542800700,"47.3026,-122.374",33rd Place Southwest,33406,,,King County,Washington
172,1999700045,"47.7658,-122.339",Densmore Avenue North,18842,,Shoreline,King County,Washington
173,1762600070,"47.6477,-122.182",118th Avenue Northeast,4114,,,King County,Washington
174,1687900520,"47.5619,-122.125",161st Avenue Southeast,4652,,Bellevue,King County,Washington
175,7234600798,"47.6106,-122.31",17th Avenue,904,,Seattle,King County,Washington
176,3881900445,"47.5868,-122.308",19th Avenue South,1806,,Seattle,King County,Washington
177,2254502445,"47.6101,-122.307",East Marion Street,1915,,Seattle,King County,Washington
178,5437810320,"47.1976,-121.999",Harmony Lane,811,,,King County,Washington
179,9158100075,"47.7224,-122.358",1st Avenue Northwest,12732,,Seattle,King County,Washington
180,3830630310,"47.3505,-122.179",Southeast 280th Court,12128,,,King County,Washington
181,8123100045,"47.5384,-122.376",35th Avenue Southwest,7000,High Point,Seattle,King County,Washington
182,3127200041,"47.7044,-122.2",106th Avenue Northeast,11611,,,King County,Washington
183,6661200320,"47.3848,-122.039",Southeast 242nd Street,22730,Parkhaven Place,,King County,Washington
184,11510310,"47.6993,-122.102",178th Court Northeast,11299,,,King County,Washington
185,825059270,"47.6627,-122.188",114th Avenue Northeast,6206,,,King County,Washington
186,8731951370,"47.3099,-122.379",36th Avenue Southwest,32621,,,King County,Washington
187,1954440060,"47.62,-122.043",Northeast 11th Place,22354,,,King County,Washington
188,2264500350,"47.65,-122.34",Ashworth Avenue North,3526,,Seattle,King County,Washington
189,1115810060,"47.6647,-122.153",140th Place Northeast,,,,King County,Washington
190,9477200200,"47.726,-122.191",113th Avenue Northeast,14004,,,King County,Washington
191,1432600560,"47.4616,-122.184",118th Avenue Southeast,15859,,,King County,Washington
192,2287000060,"47.5505,-122.219",Southeast 58th Street,9053,,,King County,Washington
193,3663500060,"47.7606,-122.336",Burke Avenue North,18008,Meridian Park,Shoreline,King County,Washington
194,3996900125,"47.7481,-122.3",27th Avenue Northeast,16400,Briarcrest,Shoreline,King County,Washington
195,7796450200,"47.2779,-122.347",Southwest 361st Street,833,,,King County,Washington
196,7549802535,"47.5511,-122.312",16th Avenue South,5802,Van Asselt,Seattle,King County,Washington
197,3278600320,"47.5488,-122.372",31st Avenue Southwest,5942,,Seattle,King County,Washington
198,2824079053,"47.5385,-121.911",Preston Fall City Road Southeast,,,,King County,Washington
199,1222069094,"47.4058,-121.994",260th Avenue Southeast,21820,,,King County,Washington
200,3542300060,"47.5093,-122.184",Northeast 20th Street,2625,Kennydale,,King County,Washington
201,2222059065,"47.3777,-122.165",132nd Avenue Southeast,25002,Kensington Heights,,King County,Washington
202,7551300060,"47.675,-122.394",Northwest 64th Street,2823,Sunset Hill,Seattle,King County,Washington
203,100600550,"47.3025,-122.37",28th Place Southwest,33400,Twin Lakes,,King County,Washington
204,3211100860,"47.4787,-122.158",Southeast 4th Place,4519,Heather Downs,,King County,Washington
205,3456000310,"47.5378,-122.219",Southeast 72nd Place,9061,,,King County,Washington
206,9526600140,"47.7073,-122.114",Northeast 120th Street,16820,,,King County,Washington
207,7465900060,"47.5733,-122.381",Southwest Hinds Street,3816,,Seattle,King County,Washington
208,1222000055,"47.4604,-122.339",4th Avenue Southwest,15836,Five Corners,,King County,Washington
209,6300000550,"47.7067,-122.343",Midvale Avenue North,10556,,Seattle,King County,Washington
210,2310030510,"47.354,-122.047",221st Avenue Southeast,27611,Elk Run,,King County,Washington
211,1025049114,"47.6647,-122.284",41st Avenue Northeast,4059,Laurelhurst,Seattle,King County,Washington
212,8677300550,"47.6143,-122.017",Northeast 5th Place,24295,,,King County,Washington
213,4014400292,"47.3185,-122.275",47th Court South,31705,,,King County,Washington
214,1102000196,"47.5458,-122.268",South Graham Street,5149,Brighton,Seattle,King County,Washington
215,257000138,"47.4889,-122.299",South 128th Street,2616,,,King County,Washington
216,46100204,"47.5673,-122.21",Ferncroft Road,,,,King County,Washington
217,1909600046,"47.5133,-122.379",37th Avenue Southwest,10010,Arroyo Heights,Seattle,King County,Washington
218,1250202145,"47.5884,-122.291",32nd Avenue South,1534,,Seattle,King County,Washington
219,7611200125,"47.7145,-122.367",Northwest 118th Street,817,,Seattle,King County,Washington
220,5611500140,"47.5836,-122.026",Southeast 28th Court,23417,,,King County,Washington
221,7138000260,"47.398,-122.299",South 227th Place,2640,Pacific Ridge,,King County,Washington
222,626059335,"47.7663,-122.215",Northeast 191st Street,9311,,,King County,Washington
223,1922059282,"47.3758,-122.217",East Chicago Street,1322,,,King County,Washington
224,705700390,"47.3828,-122.023",Southeast 245th Street,23844,Belmont Woods,,King County,Washington
225,7454001200,"47.5123,-122.373",32nd Place Southwest,10111,Arroyo Heights,Seattle,King County,Washington
226,8682281200,"47.7076,-122.013",Big Leaf Way NE,11956,,,King County,Washington
227,7972000200,"47.2922,-122.371",30th Avenue Southwest,34434,,,King County,Washington
228,722059070,"47.4075,-122.214",94th Place South,21648,,,King County,Washington
229,7202340400,"47.6794,-122.034",229th Drive Northeast,8632,,,King County,Washington
230,8096000060,"47.4497,-122.375",Southwest 172nd Street,3316,,,King County,Washington
231,2424000060,"47.5218,-122.164",132nd Place Southeast,9007,Olympus,,King County,Washington
232,9264902050,"47.3103,-122.339",Southwest 325th Place,229,Campus Landing Apartments,,King County,Washington
233,943100260,"47.5687,-121.899",Southeast 42nd Street,33097,,,King County,Washington
234,3677400445,"47.5575,-122.303",24th Avenue South,4921,,Seattle,King County,Washington
235,1762600320,"47.6489,-122.183",118th Avenue Northeast,4143,,,King County,Washington
236,4058000060,"47.3459,-121.95",296th Avenue Southeast,28425,,,King County,Washington
237,7228500560,"47.6136,-122.303",23rd Avenue,1419,,Seattle,King County,Washington
238,326069104,"47.7641,-122.023",Northeast 188th Street,23726,,,King County,Washington
239,5152100060,"47.3376,-122.324",South 295th Place,806,Marine Hills,,King County,Washington
240,3584000310,"47.3173,-122.319",South 317th Street,1035,,,King County,Washington
241,8150100045,"47.5308,-122.376",35th Avenue Southwest,7936,High Point,Seattle,King County,Washington
242,1868901275,"47.6727,-122.299",27th Avenue Northeast,6017,Ravenna,Seattle,King County,Washington
243,6131600075,"47.3221,-122.216",16th Street Northeast,1032,,,King County,Washington
244,9468200125,"47.6779,-122.353",Dayton Avenue North,6701,,Seattle,King County,Washington
245,8029510030,"47.3076,-122.395",49th Avenue Southwest,32830,Twin Lakes,,King County,Washington
246,2025069065,"47.6338,-122.072",East Lake Sammamish Trail,,,,King County,Washington
247,7899800890,"47.5218,-122.357",17th Avenue Southwest,9033,Highland Park,Seattle,King County,Washington
248,3021059276,"47.2785,-122.213",M Place Southeast,3307,,,King County,Washington
249,3797001895,"47.6846,-122.345",North 77th Street,949,,Seattle,King County,Washington
250,3832710960,"47.3656,-122.278",South 263rd Street,4424,,,King County,Washington
251,1310430400,"47.4369,-122.111",172nd Court Southeast,18416,,,King County,Washington
252,1422300030,"47.4616,-121.711",472nd Place Southeast,,,,King County,Washington
253,1105000588,"47.5405,-122.27",51st Avenue South,6903,Brighton,Seattle,King County,Washington
254,3830630060,"47.3507,-122.178",122nd Place Southeast,28015,,,King County,Washington
255,5101404898,"47.6979,-122.32",Northeast 95th Street,800,,Seattle,King County,Washington
256,7972601890,"47.5278,-122.345",8th Avenue Southwest,8414,Highland Park,Seattle,King County,Washington
257,5127001620,"47.4756,-122.147",Southeast 142nd Street,14506,,,King County,Washington
258,9407100800,"47.4437,-121.772",426th Avenue Southeast,17394,Wilderness Rim,,King County,Washington
259,1873100060,"47.7048,-122.109",Northeast 117th Street,17219,,,King County,Washington
260,8722101360,"47.6362,-122.302",23rd Avenue East,1822,Montlake,Seattle,King County,Washington
261,8644000060,"47.4207,-122.29",South 203rd Street,3410,,,King County,Washington
262,3325069129,"47.6154,-122.047",219th Avenue Northeast,696,,,King County,Washington
263,1400300055,"47.5964,-122.299",26th Avenue South,705,,Seattle,King County,Washington
264,2123039032,"47.4683,-122.438",Southwest Hawthorne Lane,8232,,,King County,Washington
265,8078560140,"47.4045,-122.171",127th Court Southeast,22020,Hillshire Terrace,,King County,Washington
266,3438500192,"47.5544,-122.358",19th Avenue Southwest,5248,,Seattle,King County,Washington
267,7974200510,"47.6802,-122.29",35th Avenue Northeast,7024,Wedgwood,Seattle,King County,Washington
268,2557000400,"47.2988,-122.371",27th Place Southwest,33745,Twin Lakes,,King County,Washington
269,7960900060,"47.6312,-122.223",88th Avenue Northeast,2246,,,King County,Washington
270,4054500390,"47.7285,-122.042",Tolt Pipeline Trail,,,,King County,Washington
271,6378500125,"47.7107,-122.352",Evanston Avenue North,11203,,Seattle,King County,Washington
272,1745100140,"47.3271,-122.323",8th Place South,30621,Puget Sound Hills,,King County,Washington
273,2976800796,"47.5053,-122.255",63rd Avenue South,10658,,Seattle,King County,Washington
274,4235400186,"47.6601,-122.4",West Government Way,3304,Lawton Park,Seattle,King County,Washington
275,4215100060,"47.4145,-122.166",Southeast 209th Court,13021,Shadow Run,,King County,Washington
276,9189700045,"47.4672,-122.165",Southeast 151st Street,13215,,,King County,Washington
277,1126049053,"47.7618,-122.261",62nd Avenue Northeast,18425,,,King County,Washington
278,2022069200,"47.3828,-122.071",Southeast 245th Street,20236,,,King County,Washington
279,9412900055,"47.5362,-122.268",Seward Park Avenue South,7323,Dunlap,Seattle,King County,Washington
280,1722059235,"47.3954,-122.206",100th Avenue Southeast,23028,,,King County,Washington
281,6874200960,"47.5048,-122.272",49th Avenue South,10908,,,King County,Washington
282,7424700045,"47.6166,-122.287",36th Avenue,1700,,Seattle,King County,Washington
283,7202360350,"47.6811,-122.025",236th Avenue Northeast,8925,,,King County,Washington
284,5634500392,"47.7486,-122.23",Northeast 166th Street,8227,,,King County,Washington
285,1509500060,"47.3846,-122.169",129th Avenue Southeast,24224,Kensington Heights,,King County,Washington
286,7214810350,"47.7564,-122.144",147th Avenue Northeast,,,,King County,Washington
287,6647200060,"47.7198,-122.193",111th Court Northeast,13240,,,King County,Washington
288,9552700140,"47.5461,-122.151",Southeast 63rd Street,14217,,Bellevue,King County,Washington
289,2200500350,"47.5712,-122.143",Southeast Newport Way,,,Bellevue,King County,Washington
290,6113400046,"47.4281,-122.343",Normandy Park Drive Southwest,19412,,,King County,Washington
291,6619910140,"47.7128,-122.223",89th Court Northeast,12519,,,King County,Washington
292,1115450240,"47.3341,-122.255",South 299th Street,6415,,,King County,Washington
293,6073240060,"47.5399,-122.181",119th Place Southeast,6933,,,King County,Washington
294,9297300045,"47.5717,-122.375",33rd Avenue Southwest,3608,,Seattle,King County,Washington
295,9510920070,"47.5951,-122.017",Southeast 16th Place,24132,,,King County,Washington
296,5468730030,"47.3536,-122.144",Southeast 276th Place,14675,,,King County,Washington
297,8079030390,"47.5084,-122.154",Northeast 18th Street,4809,,,King County,Washington
298,600000152,"47.5586,-122.311",17th Avenue South,4915,South Seattle,Seattle,King County,Washington
299,1840000030,"47.4427,-122.274",Military Road South,17904,,,King County,Washington
300,3225069065,"47.6053,-122.077",East Lake Sammamish Trail,,,,King County,Washington
301,3260800030,"47.3494,-122.301",26th Avenue South,28089,,,King County,Washington
302,2747100024,"47.6933,-122.393",28th Avenue Northwest,8811,Loyal Heights,Seattle,King County,Washington
303,5104530560,"47.3537,-122.0",256th Place Southeast,27669,,,King County,Washington
304,4330600350,"47.476,-122.337",Southwest 142nd Street,209,Highline,,King County,Washington
305,5016001535,"47.6239,-122.298",27th Avenue East,443,,Seattle,King County,Washington
306,7280300196,"47.7776,-122.384",Northwest 204th Street,2110,,Shoreline,King County,Washington
307,8651520400,"47.6459,-122.058",Northeast 42nd Street,21192,,,King County,Washington
308,7171200445,"47.6692,-122.297",28th Avenue Northeast,5520,Ravenna,Seattle,King County,Washington
309,3204800200,"47.5376,-122.18",Southeast 73rd Place,12001,,,King County,Washington
310,3416600800,"47.601,-122.294",30th Avenue South,119,,Seattle,King County,Washington
311,7994700030,"47.529,-121.837",Southeast 80th Street,37800,,,King County,Washington
312,1860600135,"47.6345,-122.367",West Blaine Street,709,Interbay,Seattle,King County,Washington
313,4139480200,"47.5503,-122.102",Southeast 58th Place,17724,,Bellevue,King County,Washington
314,4139480200,"47.5503,-122.102",Southeast 58th Place,17724,,Bellevue,King County,Washington
315,1328320800,"47.4441,-122.125",Southeast 176th Place,16207,Fairwood Greens,,King County,Washington
316,7771300125,"47.7357,-122.333",North 147th Street,2196,,Shoreline,King County,Washington
317,3422059208,"47.346,-122.157",138th Place Southeast,28506,,,King County,Washington
318,9521101455,"47.6638,-122.345",North 48th Street,1022,Meridian,Seattle,King County,Washington
319,4337000335,"47.48,-122.336",2nd Avenue Southwest,13700,,,King County,Washington
320,325059286,"47.6759,-122.151",142nd Avenue Northeast,8098,,,King County,Washington
321,2597650240,"47.5162,-122.057",Sierra Court Southwest,3257,,,King County,Washington
322,3353400435,"47.2639,-122.252",3rd Avenue Southwest,123,,,King County,Washington
323,7972000240,"47.2929,-122.371",30th Avenue Southwest,34410,,,King County,Washington
